Dato;Forklaring;Inn;Ut;Saldo
2026-01-17;Innbetaling fra Vik AS / Faktura 1001;6937.50;;106937.50
2026-01-18;Innbetaling fra Haugen AS / Faktura 1002;29312.50;;136250.00
2026-01-19;Innbetaling fra Eide AS / Faktura 1003;18812.50;;155062.50
2026-01-20;Innbetaling fra Vik AS / Faktura 1004;29250.00;;184312.50
2026-01-22;Innbetaling fra Berge AS / Faktura 1005;8875.00;;193187.50
2026-01-23;Betaling Leverandor Vik AS;;-10700.00;182487.50
2026-01-25;Betaling Leverandor Neset AS;;-12550.00;169937.50
2026-01-26;Betaling Leverandor Vik AS;;-15150.00;154787.50
2026-01-27;Skattetrekk;1330.12;;156117.62
2026-01-29;Bankgebyr;;-1594.87;154522.75
