Dato;Forklaring;Inn;Ut;Saldo
2026-01-17;Innbetaling fra Wagner GmbH / Faktura 1001;18437.50;;118437.50
2026-01-18;Innbetaling fra Schmidt GmbH / Faktura 1002;9218.75;;127656.25
2026-01-21;Innbetaling fra Weber GmbH / Faktura 1003;10687.50;;138343.75
2026-01-23;Innbetaling fra Fischer GmbH / Faktura 1004;24187.50;;162531.25
2026-01-24;Innbetaling fra Richter GmbH / Faktura 1005;12812.50;;175343.75
2026-01-26;Betaling Lieferant Hoffmann GmbH;;-19350.00;155993.75
2026-01-28;Betaling Lieferant Richter GmbH;;-12750.00;143243.75
2026-01-29;Betaling Lieferant Müller GmbH;;-6600.00;136643.75
2026-01-31;Bankgebyr;1143.16;;137786.91
2026-02-01;Skattetrekk;;-1991.86;135795.05
2026-02-03;Skattetrekk;;-246.07;135548.98
