Dato;Forklaring;Inn;Ut;Saldo
2026-01-17;Innbetaling fra Lunde AS / Faktura 1001;9437.50;;109437.50
2026-01-19;Innbetaling fra Neset AS / Faktura 1002;8187.50;;117625.00
2026-01-21;Innbetaling fra Kvamme AS / Faktura 1003;15750.00;;133375.00
2026-01-22;Innbetaling fra Stølsvik AS / Faktura 1004;7375.00;;140750.00
2026-01-25;Innbetaling fra Stølsvik AS / Faktura 1005;11050.00;;151800.00
2026-01-27;Betaling Leverandor Brekke AS;;-6100.00;145700.00
2026-01-30;Betaling Leverandor Kvamme AS;;-18400.00;127300.00
2026-01-31;Betaling Leverandor Vik AS;;-12300.00;115000.00
2026-02-02;Bankgebyr;;-967.04;114032.96
2026-02-03;Bankgebyr;1097.62;;115130.58
